               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10339,            0.039703,            0.044776,             0.30146,             0.24084,            0.057885,            0.018388,            0.083447,            0.042072,            0.038489,              0.0757,              0.0027,              0.0027
                   1,            0.068411,             0.03561,            0.034508,             0.47716,             0.38849,             0.25567,            0.086666,            0.060252,            0.028023,            0.029169,            0.050446,           0.0054456,           0.0054456
                   2,            0.064342,            0.026581,            0.024024,             0.48742,             0.41238,             0.29629,              0.1123,            0.070841,            0.022768,            0.015556,            0.025136,           0.0081357,           0.0081357
                   3,            0.057727,             0.02409,            0.015865,             0.73268,              0.5677,               0.598,             0.19908,            0.053276,            0.023911,            0.011113,            0.009703,            0.009703,            0.009703
                   4,            0.049106,            0.022031,             0.01207,             0.57852,             0.88148,              0.8721,             0.51515,            0.044851,            0.019401,           0.0089325,            0.009703,            0.009703,            0.009703
                   5,             0.04416,            0.021469,           0.0093661,             0.79248,             0.89804,             0.89835,             0.39091,            0.041027,            0.018577,           0.0081978,            0.009604,            0.009604,            0.009604
                   6,            0.040695,             0.02029,           0.0074431,             0.83173,              0.9027,             0.88403,             0.48329,            0.037247,            0.018841,           0.0060921,            0.009505,            0.009505,            0.009505
                   7,            0.037949,            0.020598,             0.00616,             0.89122,             0.90204,             0.93394,             0.54879,            0.037891,            0.016953,           0.0061394,            0.009406,            0.009406,            0.009406
                   8,            0.036559,            0.019499,           0.0061789,             0.90476,             0.86623,             0.92638,             0.51508,            0.041624,            0.018061,           0.0055634,            0.009307,            0.009307,            0.009307
                   9,            0.035349,            0.019064,           0.0056134,             0.94946,             0.92445,             0.96239,             0.60537,            0.029653,            0.017026,           0.0047325,            0.009208,            0.009208,            0.009208
                  10,             0.03429,             0.01922,           0.0049974,             0.91495,             0.88574,             0.94148,             0.61302,            0.029564,            0.016505,            0.005397,            0.009109,            0.009109,            0.009109
                  11,            0.032903,            0.019034,           0.0048728,              0.9477,             0.92647,             0.96796,             0.60459,            0.033456,            0.016003,           0.0042515,             0.00901,             0.00901,             0.00901
                  12,            0.032894,            0.018753,           0.0047824,             0.90992,              0.9155,             0.93639,             0.61422,            0.035189,            0.016323,           0.0043224,            0.008911,            0.008911,            0.008911
                  13,            0.031351,            0.018119,           0.0044502,             0.83774,             0.85994,             0.92931,             0.64443,            0.030913,            0.015401,           0.0040184,            0.008812,            0.008812,            0.008812
                  14,            0.030899,             0.01816,           0.0042655,             0.96009,             0.95753,             0.96994,             0.60536,             0.02647,            0.014512,           0.0033543,            0.008713,            0.008713,            0.008713
                  15,            0.030938,            0.018597,           0.0037811,             0.94426,             0.93578,             0.96724,             0.58499,            0.030726,            0.015297,           0.0039951,            0.008614,            0.008614,            0.008614
                  16,            0.029354,            0.017713,           0.0039851,             0.98958,             0.93868,             0.97685,             0.71289,            0.022525,            0.013537,            0.003933,            0.008515,            0.008515,            0.008515
                  17,            0.029634,            0.017817,           0.0040193,             0.99039,             0.95026,             0.98021,             0.71322,            0.023638,            0.013632,           0.0035385,            0.008416,            0.008416,            0.008416
                  18,            0.028624,            0.017613,           0.0035973,             0.95527,             0.93218,             0.96631,             0.64531,            0.031443,            0.015224,            0.003669,            0.008317,            0.008317,            0.008317
                  19,            0.028498,            0.017282,           0.0035182,             0.96421,             0.94121,             0.97329,             0.75547,            0.019186,            0.013086,           0.0037888,            0.008218,            0.008218,            0.008218
                  20,            0.027995,              0.0171,           0.0036276,             0.97728,             0.95336,             0.97979,             0.78084,            0.020064,            0.012897,           0.0032154,            0.008119,            0.008119,            0.008119
                  21,             0.02771,            0.016507,           0.0035539,             0.97052,             0.95691,             0.97786,             0.71858,            0.023989,            0.013249,           0.0032791,             0.00802,             0.00802,             0.00802
                  22,            0.027831,            0.017194,           0.0033873,             0.98188,             0.95904,             0.98149,             0.75599,              0.0212,            0.012826,           0.0029083,            0.007921,            0.007921,            0.007921
                  23,             0.02694,            0.016827,            0.003213,             0.97522,             0.95652,             0.98312,             0.68992,            0.027544,            0.013343,           0.0033554,            0.007822,            0.007822,            0.007822
                  24,            0.026485,            0.016584,           0.0032268,             0.98893,             0.95422,             0.97756,             0.76135,            0.018877,             0.01191,           0.0031525,            0.007723,            0.007723,            0.007723
                  25,            0.025895,            0.015714,           0.0031843,             0.98148,             0.96285,             0.98363,             0.80251,            0.018397,            0.011998,           0.0028957,            0.007624,            0.007624,            0.007624
                  26,            0.025263,            0.015946,           0.0027269,             0.98018,             0.95361,             0.97914,             0.76036,            0.021224,            0.012551,           0.0029934,            0.007525,            0.007525,            0.007525
                  27,            0.025596,             0.01576,           0.0027069,             0.97845,             0.96398,             0.98595,             0.74811,            0.020531,            0.012321,           0.0025576,            0.007426,            0.007426,            0.007426
                  28,            0.025205,            0.016317,           0.0026426,             0.98018,             0.97177,             0.98659,             0.78089,            0.020112,            0.011772,           0.0024643,            0.007327,            0.007327,            0.007327
                  29,            0.024251,            0.015284,           0.0027838,             0.98583,             0.96943,             0.98662,             0.75113,            0.019278,            0.011811,           0.0022842,            0.007228,            0.007228,            0.007228
